
---------------------------------------------------------------[Token Information]---------------------------------------------------------------

Token Name: BlockGames (BLOCK)
Website: https://www.blockgames.com
Twitter: https://twitter.com/getblockgames
Whitepaper: https://block-games.gitbook.io/whitepaper

---------------------------------------------------------------[Token Price Data]---------------------------------------------------------------

+----------------------+---------------------+-------------------+
|        Price         |         Date        | Price Abnormality |
+----------------------+---------------------+-------------------+
| 0.11840476140561267  | 2024-05-03 23:00:00 |         []        |
| 0.124662020152566875 | 2024-05-02 23:00:00 |         []        |
| 0.11608611148351981  | 2024-05-01 23:00:00 |         []        |
| 0.11442014929757165  | 2024-04-30 23:00:00 |         []        |
| 0.12321906119988878  | 2024-04-29 23:00:00 |         []        |
| 0.11633784887048196  | 2024-04-28 23:00:00 |         []        |
|  0.1202771446333308  | 2024-04-27 23:00:00 |         []        |
| 0.10504870468873143  | 2024-04-26 23:00:00 |         []        |
| 0.12082920800694047  | 2024-04-25 23:00:00 |         []        |
| 0.13761994675287513  | 2024-04-24 23:00:00 |         []        |
| 0.140527533985161575 | 2024-04-23 23:00:00 |         []        |
| 0.16075304943941573  | 2024-04-22 23:00:00 |         []        |
| 0.14053056272665286  | 2024-04-21 23:00:00 |         []        |
| 0.14241948531397428  | 2024-04-20 23:00:00 |         []        |
| 0.15842227617076595  | 2024-04-19 23:00:00 |         []        |
|  0.1826758712252739  | 2024-04-18 23:00:00 |         []        |
| 0.162487499549832625 | 2024-04-17 23:00:00 |         []        |
| 0.15584950601431072  | 2024-04-16 23:00:00 |         []        |
| 0.18306671229325522  | 2024-04-15 23:00:00 |         []        |
| 0.17975314316837476  | 2024-04-14 23:00:00 |         []        |
|  0.1938799580300235  | 2024-04-13 23:00:00 |         []        |
|  0.228851764553097   | 2024-04-12 23:00:00 |         []        |
| 0.31844099538631043  | 2024-04-11 23:00:00 |         []        |
+----------------------+---------------------+-------------------+


---------------------------------------------------------------[Token Holder Data)]---------------------------------------------------------------

+------+--------------------------------------------+----------------------+------------------------+
| Rank |               Holder Address               |       Quantity       |       Proportion       |
+------+--------------------------------------------+----------------------+------------------------+
|  1   | 0x9aff9ecbbe5d1261d8f0c98476c0c985902c950c |     302955992.9      | 30.295599289999999978% |
|  2   | 0xe8025ee2275e3602bd461dd9eba39fef5246ac1a |      282499997       | 28.249999699999999980% |
|  3   | 0x897f00e052261171f98a69c6a429eecdf86639b8 |      170000000       | 16.999999999999999988% |
|  4   | 0xdeae6c4d84a79d131e7453895d761532f1ea4e74 |      150000000       | 14.999999999999999989% |
|  5   | 0x6cc5f688a315f3dc28a7781717a9a798a59fda7b |  41093252.13266845   | 4.109325213266844997%  |
|  6   | 0xf89d7b9c864f589bbf53a82105107622b35eaa40 |  16183736.60316548   | 1.618373660316547999%  |
|  7   | 0xd6216fc19db775df9774a6e33526131da7d19a2c |  5969861.128737772   | 0.596986112873777200%  |
|  8   | 0x3d577e5aad32b8e9b5b8824fc824d86d09383b4c |       3998692        | 0.399869200000000000%  |
|  9   | 0x3008670070b4222659d8eacddf53324476f54c88 |      2417194.15      | 0.241719415000000000%  |
|  10  | 0x58edf78281334335effa23101bbe3371b6a36a51 |  1978909.1956086692  | 0.197890919560866920%  |
|  11  | 0x94e8d722a2302042db7f034cd969cee28504b660 |  1833505.852359608   | 0.183350585235960800%  |
|  12  | 0xae130279de7756ca5023b6f57a20bc1068aeb9b7 |       1650000        | 0.165000000000000000%  |
|  13  | 0x0d0707963952f2fba59dd06f2b425ace40b492fe |  1514170.9148190843  | 0.151417091481908430%  |
|  14  | 0x97d7915ee95ed700d4499f702c8e3c7fd12e431b |       1213777        | 0.121377700000000000%  |
|  15  | 0xc7128596e0cbfe72776eedbd306237baf34db9e6 |     999699.9997      | 0.099969999970000000%  |
|  16  | 0x5fc49a0ba463b499458a3f18b88cb7a4850d1bee |        899900        | 0.089990000000000000%  |
|  17  | 0xb1371882a69f7d9b2cd3c2a02b47f51b107ee5d7 |  892042.3241925532   | 0.089204232419255320%  |
|  18  | 0x446b86a33e2a438f569b15855189e3da28d027ba |  843045.2071248671   | 0.084304520712486710%  |
|  19  | 0xe033a1f2d814fe28528972ce684618b673ef3738 |       833333.4       | 0.083333340000000000%  |
|  20  | 0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88 |  594052.4203252605   | 0.059405242032526050%  |
|  21  | 0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23 |  505827.12427492026  | 0.050582712427492026%  |
|  22  | 0xba95c358ec16f1d8bbc48e6a4c17bbde2a402c53 |       455225.3       | 0.045522530000000000%  |
|  23  | 0xcb1132daed588cbfbbb39eec949a2ba65b8671fd |        400000        | 0.040000000000000000%  |
|  24  | 0xc0a81c9223abb56442bc6819bd0f640d22cfc5c4 |  314357.80021595507  | 0.031435780021595507%  |
|  25  | 0x5e064ae79489a7924ea7b9d43bbec7f3d0d7debe |  227641.75359665207  | 0.022764175359665207%  |
|  26  | 0x049886e055d016721810eeda94842995a4478586 |        187500        | 0.018750000000000000%  |
|  27  | 0x1e9eea8688130c71e46c2ebdc040aa34024a0f47 |      182751.707      | 0.018275170700000000%  |
|  28  | 0xc8dc92f86c9fcb694f9e4500f854658068baf83f |       166666.7       | 0.016666670000000000%  |
|  29  | 0xc558743876f652976f2a2a603f28355e012ba4b8 |        160000        | 0.016000000000000000%  |
|  30  | 0x0fb39dfd1b192bbb04e0e95c844329041b48f11d |  151368.50169069058  | 0.015136850169069058%  |
|  31  | 0x02f23534f9da649adc356fb18f63893fac544158 |        125000        | 0.012500000000000000%  |
|  32  | 0x830b2e4f15a62e75356f8a853ea0ebef378f328c |       112454.8       | 0.011245480000000000%  |
|  33  | 0xa4d9813b496569218c08ca3604201c696a07d309 |        100000        | 0.010000000000000000%  |
|  34  | 0x1fa5ca753b2100a84921a91cf6f6e27c753cf5ae |        100000        | 0.010000000000000000%  |
|  35  | 0x012949555eaea444ccd026d51cda6253ed659a87 |        100000        | 0.010000000000000000%  |
|  36  | 0x64212d9acf16e8a14a810bab4de9fc77b331787b |      99001.586       | 0.009900158600000000%  |
|  37  | 0xad065bcb91e1089f2ff3f48947ac1669cfa557a0 |  94161.47621138327   | 0.009416147621138327%  |
|  38  | 0x20a3a4ae2aacb8bbcfd89dc71280dd18cd9a0cb4 |    91816.6973244     | 0.009181669732440000%  |
|  39  | 0x286acda8801f5e7cf522ca17da37f1bdde46302e |        90575         | 0.009057500000000000%  |
|  40  | 0xe0c7cce31b34e762f0deec2aaaf986e9d1767917 |  82686.12943716365   | 0.008268612943716365%  |
|  41  | 0x88986e06e06ff952f9effdcd63a5c6887b78b505 |        77320         | 0.007732000000000000%  |
|  42  | 0x3e9b41c6b25768b26c2869df9fc596b4866784c4 |      72979.929       | 0.007297992900000000%  |
|  43  | 0x3b60de4bba83441d637533ce0bfa075b1d71f849 |        65000         | 0.006500000000000000%  |
|  44  | 0x635ebefc215e84851cdb29ad1c950fa2f242297b |      63445.734       | 0.006344573400000000%  |
|  45  | 0x21cac699ba9a46421d92a260394f081ecf1a03d9 |        62500         | 0.006250000000000000%  |
|  46  | 0x754e150f2a1d8c9117f882edac6455338e62710d |      59891.861       | 0.005989186100000000%  |
|  47  | 0x542fa0b35dfecc4ddd87b01e35f7a1d5234c8e6a |       59099.79       | 0.005909979000000000%  |
|  48  | 0xc4b1b5ba1004ae2e3b309f857507481ce2d1d813 |        56250         | 0.005625000000000000%  |
|  49  | 0x6ce3a670ca40ea6914e4f3d52e1758261431dbc8 |      54723.417       | 0.005472341700000000%  |
|  50  | 0xb48f58936e95ef98cfaeda9d225f4678dfa22916 |       53623.87       | 0.005362387000000000%  |
|  51  | 0x89f2ab029dcd11bd5a00ed6a77ccbe46315212e8 |  50879.155169585545  | 0.005087915516958554%  |
|  52  | 0xa86f130e5c91adbbf3f39b78e19e3c6bca36acd1 |        50000         | 0.005000000000000000%  |
|  53  | 0x595e49522c994544d544917f2952da674331699d |        50000         | 0.005000000000000000%  |
|  54  | 0x3d19ca3e4d30f7759b71e9d2d256f305aac0d1d2 |        50000         | 0.005000000000000000%  |
|  55  | 0xdb19ec9af350452983c2dd56f74321fe749a9c33 |        50000         | 0.005000000000000000%  |
|  56  | 0xb8c144d0c88b4a38bea8a100fdb3185b52dd13d1 |        50000         | 0.005000000000000000%  |
|  57  | 0x2093ef00297e319f6bb26167267c8da11e343b06 |        49969         | 0.004996900000000000%  |
|  58  | 0xfbda167369fcbd484e908e20094f3e1643905577 |      49912.531       | 0.004991253100000000%  |
|  59  | 0x476f6bf185a64b4ac63c2553108f12f5d83f8346 |        49565         | 0.004956500000000000%  |
|  60  | 0xde996e31549a464ed569e9356272581590b42e52 |        48899         | 0.004889900000000000%  |
|  61  | 0x10fcffc793b234492f7cb3c4c3aab1b3ab4ccd5e |  47973.48138801183   | 0.004797348138801183%  |
|  62  | 0x694820e64c9bbc4195b8955687134ad8482f8430 |      47656.504       | 0.004765650400000000%  |
|  63  | 0x54f5020e3a562a1fe421e31a98f97811e743cf5e |  44776.80813111912   | 0.004477680813111912%  |
|  64  | 0xd2db1953398e9f62e78dbc972b05e1748bb924da |    44526.46999825    | 0.004452646999825000%  |
|  65  | 0xb5e18640e138d63b46bbddb240b129844a48b259 |        42872         | 0.004287200000000000%  |
|  66  | 0x3870095b27467fb67104055c78e1e3518b473308 |      41775.477       | 0.004177547700000000%  |
|  67  | 0x52f0d5805045a14579bbdcd719e0086c5ef3574d |       40100.22       | 0.004010022000000000%  |
|  68  | 0x75256a46e98eb0f9c4eefc197eb3dd88d559a771 |      40020.806       | 0.004002080600000000%  |
|  69  | 0x6d0d19bdddc5ed1dd501430c9621dd37ebd9062d |  38080.911813437924  | 0.003808091181343792%  |
|  70  | 0x36ab0602e236a86bdd5793ce8b8c408b5ba99551 |  37991.52292895974   | 0.003799152292895974%  |
|  71  | 0x2380a2bd12efd32dc1682a1be4b622273ffe69bc |      37745.714       | 0.003774571400000000%  |
|  72  | 0xce0e141c5e6ce051dc258fad58b4a418f551caf5 |        37500         | 0.003750000000000000%  |
|  73  | 0xde8bb8b54e69e15217b351f1500730b85c9f8711 |        37500         | 0.003750000000000000%  |
|  74  | 0x91b9ca5fbb94ac85814fef9cf435477df2c8daa4 |        37500         | 0.003750000000000000%  |
|  75  | 0x7bf7113230ee1d15f4eb974c54003a8f4b7a2be4 |       37432.8        | 0.003743280000000000%  |
|  76  | 0x20a1bbed56c0bfe86223f6bb7c3deed2b2f589c5 |        37120         | 0.003712000000000000%  |
|  77  | 0x815070a584d52384a1cdbff844a38ae657e93ac8 |        37037         | 0.003703700000000000%  |
|  78  | 0x517410e128968aec61252312a20d971a4bbea4ce |      36491.081       | 0.003649108100000000%  |
|  79  | 0x0a463bf899b1c5dbd2da6947c357d104f5e97570 |      36463.155       | 0.003646315500000000%  |
|  80  | 0x4b491bd6836e8403a5c05f47ecf4d8a81845c81d |  35474.16189959883   | 0.003547416189959883%  |
|  81  | 0x3f6da9989178497e241f6788febec14b508e4772 |        34559         | 0.003455900000000000%  |
|  82  | 0xeca85146092c3be0ae36d36f39b3d6fe5a7e4b69 |       34363.43       | 0.003436343000000000%  |
|  83  | 0x236b590d9453427fb562dd1566bf3687395024f4 |        34243         | 0.003424300000000000%  |
|  84  | 0x6b19049cc69e471757a0ccf350ece44b45ca6cc4 |       34136.47       | 0.003413647000000000%  |
|  85  | 0xcc9488fda0599beb1ad09dbb5f2877f5eb9ec2c3 |  33301.024096695575  | 0.003330102409669557%  |
|  86  | 0x2fbeca23ce65f8f34ec0dc8310c73f2154906bce |        32455         | 0.003245500000000000%  |
|  87  | 0xc34c75c6f214a4ad9c1f51c9026291a8959f0bda |  32413.18511147804   | 0.003241318511147804%  |
|  88  | 0x95c7b264fe525bcd0a38e293cd5114dbf7cac02c |  32342.12980411208   | 0.003234212980411208%  |
|  89  | 0x82d63abf18e67d0db627b96f6017d3ddfe533b1a |      31137.069       | 0.003113706900000000%  |
|  90  | 0x753cf57210d2be5239c26d8c5f0b30013398aa5f |        31126         | 0.003112600000000000%  |
