
---------------------------------------------------------------[Token Information]---------------------------------------------------------------

Token Name: OPEN GPU (oGPU)
Website: https://opengpu.network/
Twitter: https://twitter.com/opengpunetwork
Whitepaper: https://opengpu.network/docs/whitepaper.pdf

---------------------------------------------------------------[Token Price Data]---------------------------------------------------------------

+----------------------+---------------------+-------------------+
|        Price         |         Date        | Price Abnormality |
+----------------------+---------------------+-------------------+
| 0.12375100097179093  | 2024-05-03 23:00:00 |         []        |
| 0.07104200035992593  | 2024-05-02 23:00:00 |         []        |
| 0.071317867802786875 | 2024-05-01 23:00:00 |         []        |
| 0.08193532558399366  | 2024-04-30 23:00:00 |         []        |
| 0.08265236242135214  | 2024-04-29 23:00:00 |         []        |
| 0.08537156730001368  | 2024-04-28 23:00:00 |         []        |
| 0.074056662972476225 | 2024-04-27 23:00:00 |         []        |
| 0.07984045645535792  | 2024-04-26 23:00:00 |         []        |
| 0.060827998803139545 | 2024-04-25 23:00:00 |         []        |
| 0.06176317848440507  | 2024-04-24 23:00:00 |         []        |
| 0.07541090599848211  | 2024-04-23 23:00:00 |         []        |
| 0.07995391301532595  | 2024-04-22 23:00:00 |         []        |
|  0.0996690072159506  | 2024-04-21 23:00:00 |         []        |
| 0.085395102857545715 | 2024-04-20 23:00:00 |         []        |
|  0.095322331699067   | 2024-04-19 23:00:00 |         []        |
| 0.12871446986528398  | 2024-04-18 23:00:00 |         []        |
|  0.0718730310953164  | 2024-04-17 23:00:00 |         []        |
| 0.04904524941961595  | 2024-04-16 23:00:00 |         []        |
|       0.107855       | 2024-04-15 23:00:00 |         []        |
| 0.12150659447619094  | 2024-04-14 23:00:00 |         []        |
| 0.10986593961878492  | 2024-04-13 23:00:00 |         []        |
| 0.019843827466389158 | 2024-04-12 23:00:00 |         []        |
| 0.026305482992776026 | 2024-04-11 23:00:00 |         []        |
+----------------------+---------------------+-------------------+


---------------------------------------------------------------[Token Holder Data)]---------------------------------------------------------------

+------+--------------------------------------------+----------------------+------------------------+
| Rank |               Holder Address               |       Quantity       |       Proportion       |
+------+--------------------------------------------+----------------------+------------------------+
|  1   | 0x695a9c59cd823cbb2cd8331a835d1eb7982b170a |  4939829.535121964   | 23.522997786295067552% |
|  2   | 0xdba68f07d1b7ca219f78ae8582c213d975c25caf |       1500000        | 7.142857142857143126%  |
|  3   | 0x3415e25b637686bbece1d0f798934772101486f6 |  1148651.9258751317  | 5.469771075595865444%  |
|  4   | 0x8ac2326a76e60fe146ab9556fed70822515b59a8 |  636967.2018950566   | 3.033177151881222019%  |
|  5   | 0xca856a7e3dc21154c03ff1c1f4b37edce792c469 |  543687.2846012345   | 2.588987069529688193%  |
|  6   | 0xf4fae4799be6ab3df47405e04e5a5be1138926be |        500000        | 2.380952380952381042%  |
|  7   | 0x15bd9abd41629cd678e1c1d7ec27d49397af0565 |  459092.06304885354  | 2.186152681185016939%  |
|  8   | 0xaabd072866819b9bb6d9604c232283f16e21d3a6 |        400000        | 1.904761904761904834%  |
|  9   | 0xcb2b4955529d1963d775516f65055965a9c98bbf |        400000        | 1.904761904761904834%  |
|  10  | 0xe20f783612a363443da4e7d672bf5fa82e7ee5e2 |  380572.85909622005  | 1.812251709982000306%  |
|  11  | 0x15ae9ad4fc8a4621f81f64d9a62cc5856ca386c1 |  346263.8604738404   | 1.648875526065906729%  |
|  12  | 0xcf7dc67fd075bb25bbf5c592731ce10385a063a4 |  218980.20702444206  | 1.042762890592581277%  |
|  13  | 0x7dd22ebe64d5e0059a8b05195c2e66888af2f8c2 |  218918.56653414585  | 1.042469364448313611%  |
|  14  | 0x2de948176e0525c917c8d2951de54e5922db54e7 |  218502.24108600785  | 1.040486862314323134%  |
|  15  | 0xb1a093702d7973e6e14691177ed323cc8935f254 |  216682.9074874665   | 1.031823368987935753%  |
|  16  | 0x766b241c3b12bb19432893c146acc70a6b112ab5 |  206364.10229462967  | 0.982686201402998466%  |
|  17  | 0x3e526278a7150c057598edf4a1427b7ba83cffd6 |  201637.48161205024  | 0.960178483866905941%  |
